callDateTime,priority,district,description,callNumber,incidentLocation,location
07/13/2015 01:11:00 PM,Non-Emergency,WD,Foot  Patrol,P151941451,N PAYSON ST/W NORTH AV,"(39.309748,-76.649901)"
07/13/2015 01:09:00 PM,Medium,CD,911/NO  VOICE,P151941452,200 N EUTAW ST,"(39.2920360,-76.6218070)"
07/13/2015 01:11:00 PM,Medium,NE,911/NO  VOICE,P151941453,600 WALPERT AV,"(39.3187751,-76.6064283)"
07/13/2015 01:06:00 PM,Non-Emergency,NE,56,P151941454,4000 MAPLE SHADE DR,"(39.3108323,-76.5623673)"
07/13/2015 01:08:00 PM,Non-Emergency,NW,LOST PROPERTY,P151941455,BROOKHILL RD/REISTERSTOWN RD,"(39.359610,-76.706982)"
07/13/2015 01:08:00 PM,Low,NW,CK WELL BEING,P151941456,4100 BLK W COLD SPRING LN,"(39.3352480,-76.6876470)"
07/13/2015 01:12:00 PM,Medium,CD,NARCOTICSOutside,P151941457,600 E FAYETTE ST,"(39.2906673,-76.6071593)"
07/13/2015 01:12:00 PM,Low,ED,OTHER,P151941459,500 E PRESTON ST,"(39.3048077,-76.6092968)"
07/13/2015 01:12:00 PM,Medium,SD,COMMON ASSAULT,P151941460,W OSTEND ST/CARROLL ST,"(39.280906,-76.632914)"
07/13/2015 01:14:00 PM,Non-Emergency,SD,SUPV COMPLAINT,P151941461,800 GLADE CT,"(39.2297497,-76.6009878)"
07/13/2015 01:14:00 PM,Medium,WD,DISORDERLY,P151941462,900 APPLETON ST,"(39.2990570,-76.6486480)"
07/13/2015 01:15:00 PM,Medium,ED,911/NO  VOICE,P151941464,500 E PRESTON ST,"(39.3048077,-76.6092968)"
07/13/2015 01:08:00 PM,Low,CD,AUTO,P151941465,400 E BALTIMORE ST,"(39.2899730,-76.6100220)"
07/13/2015 01:16:00 PM,Medium,SD,BURGLARY,P151941467,1000 S CAREY ST,"(39.2813801,-76.6363576)"
07/13/2015 01:15:00 PM,High,NE,ARMED PERSON,P151941468,4000 PINEWOOD AV,"(39.3556040,-76.5328399)"
07/13/2015 01:10:00 PM,Medium,ND,DISORDERLY,P151941469,2700 N CHARLES ST,"(39.3213688,-76.6177788)"
07/13/2015 01:16:00 PM,Medium,NW,NARCOTICSOutside,P151941470,3700 BLK W BELVEDERE AV,"(39.3464230,-76.6805640)"
07/13/2015 01:17:00 PM,Medium,CD,NARCOTICSOutside,P151941471,2000 N FOREST PARK AV,"(39.3094290,-76.7085520)"
07/13/2015 01:17:00 PM,High,SW,Traffic Stop,P151941472,4300 PARKTON ST,"(39.2779588,-76.6865471)"
07/13/2015 01:15:00 PM,Medium,CD,911/NO  VOICE,P151941473,800 EDMONDSON AV,"(39.2961646,-76.6308352)"
07/13/2015 01:16:00 PM,Low,SD,DESTRUCT PROPTY,P151941474,200 E WELLS ST,"(39.2689828,-76.6100103)"
07/13/2015 01:17:00 PM,Medium,SD,911/NO  VOICE,P151941475,4100 DORIS AV,"(39.2298010,-76.6030070)"
07/13/2015 01:13:00 PM,Medium,NW,RECOVER PROPERTY,P151941476,3000 WOLCOTT AV,"(39.3209261,-76.6833910)"
07/13/2015 01:18:00 PM,Medium,SD,911/NO  VOICE,P151941477,4100 DORIS AV,"(39.2298010,-76.6030070)"
07/13/2015 01:14:00 PM,Medium,WD,NARCOTICSOutside,P151941478,1200 W NORTH AV,"(39.3104844,-76.6373145)"
07/13/2015 01:17:00 PM,Low,NE,HIT AND RUN,P151941479,2700 ST LO DR,"(39.3187818,-76.5871623)"
07/13/2015 01:19:00 PM,Low,NW,WANTED ON WARR,P151941480,NORTHWEST DISTRICT,"(39.349975,-76.693382)"
07/13/2015 01:20:00 PM,Low,NW,WANTED ON WARR,P151941481,NORTHWEST DISTRICT,"(39.349975,-76.693382)"
